,Country,ID,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
0,FR,3034815,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
1,FR,3034852,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
2,FR,3034859,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
3,FR,3034866,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
4,FR,3034873,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
5,FR,3034951,Renault,M1,M1,1448.0,132.0,2647.0,1562.0,1562.0,Petrol,M,1197.0,96.0
6,FR,3034957,Renault,M1,M1,1448.0,132.0,2647.0,1562.0,1562.0,Petrol,M,1197.0,96.0
7,FR,3034963,Renault,M1,M1,1395.0,130.0,2647.0,1562.0,1562.0,Petrol,M,1197.0,96.0
8,FR,3044658,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
9,FR,3044666,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
10,FR,3044707,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
11,FR,3044715,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
12,FR,3044721,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
13,FR,3035349,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
14,FR,3035357,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
15,FR,3035368,Renault,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,Diesel,M,1461.0,55.0
16,FR,3035522,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
17,FR,3035529,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
18,FR,3035536,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
19,FR,3035544,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
20,FR,3035628,Renault,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,Diesel,M,1461.0,55.0
21,FR,3035636,Renault,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,Diesel,M,1461.0,55.0
22,FR,3035643,Renault,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,Diesel,M,1461.0,55.0
23,FR,3036072,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
24,FR,3036080,Renault,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,Diesel,M,1461.0,66.0
