ID,Mk,Category Type Approved,Category Registered,Ft,Fm
3034815,RENAULT,M1,M1,DIESEL,M
3034852,RENAULT,M1,M1,DIESEL,M
3034859,RENAULT,M1,M1,DIESEL,M
3034866,RENAULT,M1,M1,DIESEL,M
3034873,RENAULT,M1,M1,DIESEL,M
3034951,RENAULT,M1,M1,PETROL,M
3034957,RENAULT,M1,M1,PETROL,M
3034963,RENAULT,M1,M1,PETROL,M
3044658,RENAULT,M1,M1,DIESEL,M
3044666,RENAULT,M1,M1,DIESEL,M
3044707,RENAULT,M1,M1,DIESEL,M
3044715,RENAULT,M1,M1,DIESEL,M
3044721,RENAULT,M1,M1,DIESEL,M
3035349,RENAULT,M1,M1,DIESEL,M
3035357,RENAULT,M1,M1,DIESEL,M
3035368,RENAULT,M1,M1,DIESEL,M
3035522,RENAULT,M1,M1,DIESEL,M
3035529,RENAULT,M1,M1,DIESEL,M
3035536,RENAULT,M1,M1,DIESEL,M
3035544,RENAULT,M1,M1,DIESEL,M
3035628,RENAULT,M1,M1,DIESEL,M
3035636,RENAULT,M1,M1,DIESEL,M
3035643,RENAULT,M1,M1,DIESEL,M
3036072,RENAULT,M1,M1,DIESEL,M
3036080,RENAULT,M1,M1,DIESEL,M
3036122,RENAULT,M1,M1,DIESEL,M
3036130,RENAULT,M1,M1,DIESEL,M
3036138,RENAULT,M1,M1,DIESEL,M
3036146,RENAULT,M1,M1,DIESEL,M
3036301,RENAULT,M1,M1,DIESEL,M
3036315,RENAULT,M1,M1,DIESEL,M
3036328,RENAULT,M1,M1,DIESEL,M
3036396,RENAULT,M1,M1,DIESEL,M
3036403,RENAULT,M1,M1,DIESEL,M
3036408,RENAULT,M1,M1,DIESEL,M
3036626,RENAULT,M1,M1,DIESEL,M
3036634,RENAULT,M1,M1,DIESEL,M
3036640,RENAULT,M1,M1,PETROL,M
3041999,RENAULT,M1,M1,DIESEL,M
3042007,RENAULT,M1,M1,DIESEL,M
3042015,RENAULT,M1,M1,DIESEL,M
3042021,RENAULT,M1,M1,DIESEL,M
3042032,RENAULT,M1,M1,PETROL,M
3042038,RENAULT,M1,M1,DIESEL,M
3042046,RENAULT,M1,M1,DIESEL,M
1218089,RENAULT,M1,M1,PETROL,M
1218094,RENAULT,M1,M1,PETROL,M
1218098,RENAULT,M1,M1,PETROL,M
1218104,RENAULT,M1,M1,PETROL,M
1218108,RENAULT,M1,M1,PETROL,M
1218112,RENAULT,M1,M1,PETROL,M
1218116,RENAULT,M1,M1,PETROL,M
1218121,RENAULT,M1,M1,PETROL,M
1218126,RENAULT,M1,M1,PETROL,M
1218135,RENAULT,M1,M1,PETROL,M
