ID,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Engine Capacity (cm3),Engine Power (KW)
3034815,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3034852,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3034859,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3034866,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3034873,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3034951,1448.0,132.0,2647.0,1562.0,1562.0,1197.0,96.0
3034957,1448.0,132.0,2647.0,1562.0,1562.0,1197.0,96.0
3034963,1395.0,130.0,2647.0,1562.0,1562.0,1197.0,96.0
3044658,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3044666,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3044707,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3044715,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3044721,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035349,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035357,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035368,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3035522,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035529,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035536,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035544,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3035628,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3035636,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3035643,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036072,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036080,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036122,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036130,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036138,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036146,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036301,1253.0,95.0,2606.0,1531.0,1531.0,1461.0,66.0
3036315,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036328,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036396,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036403,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036408,1165.0,85.0,2589.0,1509.0,1509.0,1461.0,55.0
3036626,1393.0,103.0,2670.0,1596.0,1596.0,1598.0,96.0
3036634,1393.0,103.0,2670.0,1596.0,1596.0,1598.0,96.0
3036640,1394.0,124.0,2712.0,1596.0,1596.0,1197.0,97.0
3041999,1923.0,145.0,3498.0,1615.0,1615.0,1598.0,92.0
3042007,1923.0,145.0,3498.0,1615.0,1615.0,1598.0,92.0
3042015,1923.0,145.0,3498.0,1615.0,1615.0,1598.0,92.0
3042021,1923.0,145.0,3498.0,1615.0,1615.0,1598.0,92.0
3042032,1505.0,129.0,2734.0,1602.0,1602.0,1197.0,97.0
3042038,1505.0,100.0,2734.0,1602.0,1602.0,1461.0,81.0
3042046,1735.0,122.0,2804.0,1602.0,1602.0,1598.0,118.0
1218089,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218094,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218098,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218104,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218108,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218112,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218116,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218121,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218126,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218135,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218138,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218144,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218152,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218159,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218167,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218175,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218183,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218189,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218196,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218201,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218205,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
1218211,1467.0,134.0,2670.0,1574.0,1577.0,1618.0,151.0
