,ID,MS,Mp,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
0,3034815,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
1,3034852,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2,3034859,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
3,3034866,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
4,3034873,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
5,3034951,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MRBABB005000,RENAULT,KADJAR,M1,M1,1448.0,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
6,3034957,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MRBABB005000,RENAULT,KADJAR,M1,M1,1448.0,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
7,3034963,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MR6ABB005000,RENAULT,KADJAR,M1,M1,1395.0,130.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
8,3044658,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
9,3044666,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
10,3044707,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
11,3044715,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
12,3044721,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
13,3035349,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
14,3035357,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
15,3035368,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
18,3035522,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
19,3035529,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
20,3035536,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
21,3035544,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253.0,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
22,3035628,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
23,3035636,FR,RENAULT,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165.0,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
