ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
3034815,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3034852,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3034859,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3034866,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3034873,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3034951,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MRBABB005000,RENAULT,KADJAR,M1,M1,1448,,132,,2647,1562,1562,PETROL,M,1197,96
3034957,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MRBABB005000,RENAULT,KADJAR,M1,M1,1448,,132,,2647,1562,1562,PETROL,M,1197,96
3034963,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0475*04,RFE,HF2,MR6ABB005000,RENAULT,KADJAR,M1,M1,1395,,130,,2647,1562,1562,PETROL,M,1197,96
3044658,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3044666,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3044707,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3044715,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3044721,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035349,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035357,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035368,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3035446,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0251*10,AG,V,YE0,RENAULT,ZOE,M1,M1,1555,,0,,2588,1511,1511,ELECTRIC,E,,43
3035452,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0251*10,AG,V,YE0,RENAULT,ZOE,M1,M1,1555,,0,,2588,1511,1511,ELECTRIC,E,,43
3035522,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035529,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035536,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035544,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3035628,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3035636,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3035643,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
