,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
0,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
1,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
2,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
3,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
4,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
5,RENAULT,M1,M1,1448,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
6,RENAULT,M1,M1,1448,132.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
7,RENAULT,M1,M1,1395,130.0,2647.0,1562.0,1562.0,PETROL,M,1197.0,96.0
8,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
9,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
10,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
11,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
12,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
13,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
14,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
15,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
18,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
19,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
20,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
21,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
22,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
23,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
24,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
25,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
26,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
27,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
28,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
29,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
30,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
31,RENAULT,M1,M1,1253,95.0,2606.0,1531.0,1531.0,DIESEL,M,1461.0,66.0
32,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
33,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
34,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
35,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
36,RENAULT,M1,M1,1165,85.0,2589.0,1509.0,1509.0,DIESEL,M,1461.0,55.0
37,RENAULT,M1,M1,1393,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
38,RENAULT,M1,M1,1393,103.0,2670.0,1596.0,1596.0,DIESEL,M,1598.0,96.0
39,RENAULT,M1,M1,1394,124.0,2712.0,1596.0,1596.0,PETROL,M,1197.0,97.0
40,RENAULT,M1,M1,1923,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
41,RENAULT,M1,M1,1923,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
42,RENAULT,M1,M1,1923,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
43,RENAULT,M1,M1,1923,145.0,3498.0,1615.0,1615.0,DIESEL,M,1598.0,92.0
44,RENAULT,M1,M1,1505,129.0,2734.0,1602.0,1602.0,PETROL,M,1197.0,97.0
45,RENAULT,M1,M1,1505,100.0,2734.0,1602.0,1602.0,DIESEL,M,1461.0,81.0
46,RENAULT,M1,M1,1735,122.0,2804.0,1602.0,1602.0,DIESEL,M,1598.0,118.0
47,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
48,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
49,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
