Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1448,132,2647,1562,1562,2,1,1197,96
18,0,0,1448,132,2647,1562,1562,2,1,1197,96
18,0,0,1395,130,2647,1562,1562,2,1,1197,96
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1253,95,2606,1531,1531,0,1,1461,66
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1165,85,2589,1509,1509,0,1,1461,55
18,0,0,1393,103,2670,1596,1596,0,1,1598,96
18,0,0,1393,103,2670,1596,1596,0,1,1598,96
18,0,0,1394,124,2712,1596,1596,2,1,1197,97
18,0,0,1923,145,3498,1615,1615,0,1,1598,92
18,0,0,1923,145,3498,1615,1615,0,1,1598,92
18,0,0,1923,145,3498,1615,1615,0,1,1598,92
18,0,0,1923,145,3498,1615,1615,0,1,1598,92
18,0,0,1505,129,2734,1602,1602,2,1,1197,97
18,0,0,1505,100,2734,1602,1602,0,1,1461,81
18,0,0,1735,122,2804,1602,1602,0,1,1598,118
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
18,0,0,1467,134,2670,1574,1577,2,1,1618,151
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,114,2652,1501,1501,2,1,1199,60
2,1,1,1109,110,2652,1501,1501,2,1,1199,60
4,1,1,1585,115,2612,1532,1532,0,1,1997,133
4,1,1,1483,103,2612,1532,1532,0,1,1560,88
4,1,1,1754,114,2727,1582,1582,0,1,1997,133
4,1,1,1754,114,2727,1582,1582,0,1,1997,133
4,1,1,1634,104,2727,1582,1582,0,1,1560,88
2,1,1,1754,118,2727,1582,1582,0,1,1997,133
2,1,1,2378,158,3450,1810,1810,0,1,1997,96
2,1,1,2378,158,3450,1810,1810,0,1,1997,96
2,1,1,2595,163,3450,1810,1810,0,1,1997,120
2,1,1,2378,158,3450,1810,1810,0,1,1997,120
2,1,1,2130,139,3275,1630,1630,0,1,1997,110
2,1,1,2118,137,3275,1630,1630,0,1,1560,85
2,1,1,2118,137,3275,1630,1630,0,1,1560,85
2,1,1,2118,137,3275,1630,1630,0,1,1560,85
2,1,1,2210,155,3275,1630,1630,0,1,1997,130
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
17,1,1,1173,104,2538,1470,1470,2,1,1199,60
17,1,1,1280,90,2538,1470,1470,0,1,1560,55
17,1,1,1189,104,2538,1470,1470,2,1,1199,60
23,0,0,1717,116,2941,1628,1629,0,1,1969,140
23,0,0,1717,116,2941,1628,1629,0,1,1969,140
23,0,0,1717,116,2941,1628,1629,0,1,1969,140
23,0,0,1712,149,2941,1617,1618,2,1,1969,187
23,0,0,1712,149,2941,1617,1618,2,1,1969,187
23,0,0,1799,165,2941,1617,1618,2,1,1969,235
23,0,0,1799,165,2941,1617,1618,2,1,1969,235
