Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1448,132,2647,1562,1562,PETROL,M,1197,96
RENAULT,M1,M1,1448,132,2647,1562,1562,PETROL,M,1197,96
RENAULT,M1,M1,1395,130,2647,1562,1562,PETROL,M,1197,96
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1253,95,2606,1531,1531,DIESEL,M,1461,66
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1165,85,2589,1509,1509,DIESEL,M,1461,55
RENAULT,M1,M1,1393,103,2670,1596,1596,DIESEL,M,1598,96
RENAULT,M1,M1,1393,103,2670,1596,1596,DIESEL,M,1598,96
RENAULT,M1,M1,1394,124,2712,1596,1596,PETROL,M,1197,97
RENAULT,M1,M1,1923,145,3498,1615,1615,DIESEL,M,1598,92
RENAULT,M1,M1,1923,145,3498,1615,1615,DIESEL,M,1598,92
RENAULT,M1,M1,1923,145,3498,1615,1615,DIESEL,M,1598,92
RENAULT,M1,M1,1923,145,3498,1615,1615,DIESEL,M,1598,92
RENAULT,M1,M1,1505,129,2734,1602,1602,PETROL,M,1197,97
RENAULT,M1,M1,1505,100,2734,1602,1602,DIESEL,M,1461,81
RENAULT,M1,M1,1735,122,2804,1602,1602,DIESEL,M,1598,118
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1467,134,2670,1574,1577,PETROL,M,1618,151
